customer_id,R,F,M,RFM_score,segment,recency_days,frequency_180d,monetary_180d,return_rate,avg_discount_pct,ticket_count,neg_pct,sessions_30d,last_visit_days_ago,loyalty_tier,last_campaign_received,manual_priority_bucket,churn_next_60d
CUST00001,2,1,1,4,Dormant,107,1.0,362.73,0.16666666666666666,0.36333333333333334,2.0,0.5,1,20,Silver,welcome_offer,high,1
CUST00002,4,1,2,7,Dormant,40,1.0,581.0,0.0,0.23,1.0,0.0,8,0,Silver,free_shipping,medium,0
CUST00003,1,1,2,4,Dormant,171,1.0,649.98,0.0,0.47,0.0,0.0,1,26,None,none,high,1
CUST00004,2,1,4,7,Dormant,131,1.0,1604.04,0.0,0.16,0.0,0.0,1,14,None,free_shipping,high,1
CUST00005,4,2,4,10,Loyal,38,3.0,1781.9,0.0,0.4425,1.0,1.0,18,9,Gold,welcome_offer,medium,0
CUST00006,3,3,5,11,Loyal,51,4.0,2989.58,0.2,0.358,2.0,1.0,2,1,Silver,none,medium,0
CUST00007,5,1,3,9,Dormant,3,1.0,719.33,0.0,0.18,0.0,0.0,11,12,None,free_shipping,low,0
CUST00008,3,2,5,10,Loyal,47,3.0,2449.11,0.0,0.2225,1.0,0.0,2,16,Silver,bundle_discount,medium,0
CUST00009,4,1,2,7,Dormant,31,1.0,376.85,0.0,0.49,0.0,0.0,11,6,None,none,low,0
CUST00010,5,1,2,8,Dormant,9,1.0,636.8,0.0,0.45,0.0,0.0,13,5,None,none,low,0
CUST00011,5,1,2,8,Dormant,1,1.0,508.08,0.0,0.15500000000000003,0.0,0.0,10,0,Gold,new_launch,low,0
CUST00012,3,1,3,7,Dormant,50,1.0,978.88,0.0,0.29500000000000004,1.0,1.0,3,5,None,none,medium,1
CUST00013,3,2,4,9,Dormant,61,3.0,1754.44,0.0,0.23,1.0,1.0,4,21,None,free_shipping,medium,0
CUST00014,3,2,4,9,Dormant,51,2.0,1382.3899999999999,0.0,0.2618181818181818,2.0,0.5,11,17,None,bundle_discount,medium,0
CUST00015,4,2,4,10,Loyal,35,2.0,1523.1399999999999,0.0,0.3025,0.0,0.0,6,11,Gold,none,low,0
CUST00016,1,1,1,3,Dormant,215,0.0,0.0,0.0,0.22,1.0,0.0,2,32,None,welcome_offer,high,1
CUST00017,1,1,1,3,Dormant,286,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,4,47,None,bundle_discount,high,1
CUST00018,2,1,1,4,Dormant,111,1.0,329.21,0.0,0.36,0.0,0.0,3,37,Silver,new_launch,high,1
CUST00019,5,2,4,11,Loyal,9,2.0,1598.93,0.0,0.105,0.0,0.0,5,0,Gold,free_shipping,low,0
CUST00020,1,1,1,3,Dormant,368,0.0,0.0,0.0,0.13,1.0,1.0,0,60,None,welcome_offer,high,1
CUST00021,3,2,3,8,Dormant,77,2.0,1059.3,0.0,0.435,1.0,1.0,3,18,Silver,new_launch,high,1
CUST00022,4,1,2,7,Dormant,29,1.0,454.06,0.0,0.31,0.0,0.0,10,0,None,welcome_offer,low,0
CUST00023,4,1,2,7,Dormant,21,1.0,400.98,0.0,0.25,0.0,0.0,3,7,Gold,welcome_offer,low,0
CUST00024,5,1,2,8,Dormant,4,1.0,481.35,0.0,0.34,0.0,0.0,13,0,None,new_launch,low,0
CUST00025,1,1,2,4,Dormant,165,1.0,517.97,0.0,0.31142857142857144,3.0,0.6666666666666666,11,29,None,new_launch,high,1
CUST00026,3,2,5,10,Loyal,72,3.0,3561.3900000000003,0.3333333333333333,0.16333333333333333,1.0,1.0,14,26,None,none,medium,0
CUST00027,3,1,5,9,Dormant,70,1.0,2128.34,1.0,0.3,1.0,1.0,11,18,None,free_shipping,medium,0
CUST00028,3,1,2,6,Dormant,83,1.0,641.83,0.0,0.19,1.0,0.0,1,19,None,free_shipping,high,0
CUST00029,5,2,4,11,Loyal,18,3.0,1382.04,0.0,0.23374999999999999,0.0,0.0,1,0,None,free_shipping,low,0
CUST00030,5,4,5,14,Champions,5,5.0,2819.98,0.0,0.34,2.0,1.0,11,3,Gold,free_shipping,medium,0
CUST00031,3,1,2,6,Dormant,49,1.0,672.95,0.0,0.24,0.0,0.0,6,9,None,new_launch,medium,1
CUST00032,4,1,3,8,Dormant,33,1.0,694.18,0.0,0.3666666666666667,0.0,0.0,12,13,Silver,bundle_discount,low,0
CUST00033,5,2,4,11,Loyal,12,3.0,1877.69,0.5,0.405,2.0,1.0,7,7,Gold,welcome_offer,medium,0
CUST00034,3,2,4,9,Dormant,50,2.0,1460.21,0.0,0.26166666666666666,3.0,0.3333333333333333,7,0,Gold,welcome_offer,medium,0
CUST00035,2,1,3,6,Dormant,127,1.0,779.74,0.0,0.24333333333333332,0.0,0.0,6,25,Silver,new_launch,high,1
CUST00036,4,3,4,11,Loyal,27,4.0,1737.33,0.25,0.365,1.0,1.0,0,14,Silver,bundle_discount,medium,1
CUST00037,2,1,2,5,Dormant,102,1.0,435.83,0.0,0.43,0.0,0.0,5,28,None,welcome_offer,high,0
CUST00038,3,2,5,10,Loyal,51,3.0,1955.6100000000001,0.0,0.355,1.0,0.0,5,14,None,bundle_discount,medium,0
CUST00039,5,2,3,10,Loyal,15,2.0,1173.55,0.0,0.2966666666666667,0.0,0.0,6,4,None,welcome_offer,low,0
CUST00040,1,1,2,4,Dormant,154,1.0,634.73,0.0,0.38,1.0,0.0,1,42,None,none,high,1
CUST00041,3,1,1,5,Dormant,54,1.0,366.99,0.0,0.3475,1.0,1.0,5,22,Silver,free_shipping,medium,1
CUST00042,2,4,5,11,At-Risk,87,5.0,4306.0,0.2222222222222222,0.21888888888888888,6.0,0.8333333333333334,3,14,Silver,none,high,0
CUST00043,4,1,1,6,Dormant,24,1.0,363.01,0.0,0.43,0.0,0.0,3,0,Gold,welcome_offer,low,0
CUST00044,3,1,3,7,Dormant,72,1.0,899.51,0.0,0.38666666666666666,1.0,1.0,6,10,None,welcome_offer,medium,0
CUST00045,2,1,2,5,Dormant,96,1.0,413.75,0.0,0.33,0.0,0.0,6,10,None,welcome_offer,high,1
CUST00046,2,1,2,5,Dormant,127,1.0,489.87,0.0,0.13,0.0,0.0,7,29,Gold,new_launch,high,1
CUST00047,1,1,1,3,Dormant,204,0.0,0.0,0.0,0.16,0.0,0.0,2,36,Gold,free_shipping,high,1
CUST00048,3,3,5,11,Loyal,61,4.0,2450.45,0.25,0.3125,1.0,1.0,12,12,Silver,none,medium,0
CUST00049,5,1,2,8,Dormant,8,1.0,380.83,0.0,0.47,0.0,0.0,4,0,None,new_launch,low,0
CUST00050,5,2,5,12,Loyal,0,2.0,2026.54,0.3333333333333333,0.3333333333333333,1.0,1.0,3,0,Gold,bundle_discount,low,0
CUST00051,1,1,1,3,Dormant,210,0.0,0.0,0.0,0.3525,2.0,1.0,6,35,None,new_launch,high,1
CUST00052,3,2,4,9,Dormant,55,2.0,1820.53,0.3333333333333333,0.21,1.0,1.0,7,8,Silver,free_shipping,medium,1
CUST00053,4,2,5,11,Loyal,25,3.0,2063.87,0.0,0.395,2.0,1.0,9,5,Silver,welcome_offer,medium,0
CUST00054,5,1,2,8,Dormant,6,1.0,489.85,0.0,0.25,0.0,0.0,3,0,None,welcome_offer,low,0
CUST00055,5,2,4,11,Loyal,3,3.0,1308.35,0.0,0.24666666666666667,1.0,1.0,6,0,None,new_launch,low,0
